   구간별 시간대별 혼잡도(토요일) - 상선(내선),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,(단위 : %)
호선,역명,방향,5시대,6시대,7시대,8시대,9시대,10시대,11시대,12시대,13시대,14시대,15시대,16시대,17시대,18시대,19시대,20시대,21시대,22시대,23시대,24시대

2호선,시청,내선,27,18,19,30,32,36,37,42,47,41,39,42,40,36,27,27,30,41,36,
,을지입구,내선,22,16,16,25,24,28,30,35,42,38,38,42,40,38,31,36,38,48,42,
,을지3가,내선,16,12,11,16,14,17,19,22,25,24,24,28,27,25,22,25,27,34,30,
,을지4가,내선,14,9,7,11,10,12,14,18,20,20,20,24,23,22,19,20,22,27,24,
,동대문역사문화공원,내선,27,20,18,28,27,27,32,40,45,40,41,44,46,41,32,35,37,45,39,
,신당,내선,33,23,21,32,32,32,37,45,52,45,45,50,51,46,34,38,40,47,41,
,상왕십리,내선,27,25,21,31,32,33,37,45,49,47,45,49,51,46,34,37,39,46,40,
,왕십리,내선,27,25,21,32,30,31,35,42,48,43,41,44,45,40,29,32,33,40,32,
,한양대,내선,28,24,21,30,28,30,34,42,46,43,40,45,46,40,29,31,34,41,31,
,뚝섬,내선,28,24,19,29,27,30,34,42,46,41,42,45,45,41,29,31,33,39,30,
,성수,내선,14,17,18,26,33,34,36,44,50,42,45,45,45,44,33,35,37,42,72,
,건대입구,내선,16,21,21,29,34,35,37,42,48,42,41,43,42,39,29,32,34,40,68,
,구의,내선,18,21,22,31,36,35,38,42,48,43,41,41,40,37,28,30,32,36,57,
,강변,내선,18,18,18,29,36,36,40,45,48,44,41,41,39,37,27,28,31,34,51,
,성내,내선,20,17,19,29,37,36,41,46,49,44,42,40,39,37,26,28,30,33,48,
,잠실,내선,23,19,23,36,47,44,50,57,61,54,50,48,49,47,32,36,38,38,41,
,신천,내선,25,19,24,37,47,47,50,60,61,55,50,48,47,44,31,35,37,38,40,
,종합운동장,내선,28,18,22,37,47,48,52,59,59,53,50,48,49,45,33,42,45,41,39,
,삼성,내선,21,17,20,32,42,46,50,58,63,61,56,54,56,55,40,52,65,51,50,
,선릉,내선,27,21,23,36,47,51,60,72,78,76,70,70,70,72,50,61,74,60,62,
,역삼,내선,30,21,21,34,45,49,59,72,81,78,72,72,74,76,53,64,78,66,59,
,강남,내선,42,22,21,30,37,45,57,70,78,81,76,76,80,78,57,68,89,91,84,
,교대,내선,42,20,19,29,35,43,53,68,76,79,75,75,80,79,60,70,96,100,91,
,서초,내선,42,20,18,27,34,42,52,67,76,78,75,75,81,81,62,69,97,102,91,
,방배,내선,44,20,18,27,33,42,51,67,77,79,75,76,81,83,62,70,97,104,87,
,사당,내선,37,20,17,28,33,43,54,67,76,79,74,75,80,87,61,68,95,106,88,
,낙성대,내선,40,20,17,29,32,42,53,63,78,77,73,73,77,84,59,64,87,102,81,
,서울대입구,내선,24,19,17,27,29,41,52,61,75,72,69,69,73,79,56,60,80,93,75,
,봉천,내선,30,21,17,28,30,41,52,61,74,72,69,68,72,77,54,58,77,89,72,
,신림,내선,41,23,19,33,31,42,53,61,72,69,66,64,67,69,49,50,67,77,61,
,신대방,내선,52,26,21,37,34,43,53,63,75,70,64,65,66,68,48,48,63,71,57,
,구로디지털단지,내선,73,29,24,43,39,47,57,66,78,71,67,66,67,68,48,46,60,65,51,
,대림,내선,93,33,27,50,44,51,60,70,82,73,67,67,66,65,47,42,54,57,45,
,신도림,내선,27,27,28,52,52,55,57,72,75,71,57,61,60,57,38,33,41,40,33,
,문래,내선,27,27,28,51,55,60,62,71,76,69,56,62,59,57,42,42,41,52,50,
,영등포구청,내선,26,26,27,50,53,58,59,69,75,69,54,60,58,56,40,40,38,49,45,
,당산,내선,28,25,27,49,54,60,59,75,83,68,58,63,62,59,45,38,39,47,45,
,합정,내선,25,20,23,41,48,53,53,63,69,60,51,59,52,51,37,32,31,37,36,
,홍대입구,내선,33,21,25,43,48,53,51,58,63,55,47,52,47,44,32,29,31,43,44,
,신촌,내선,36,23,25,39,42,47,48,54,60,51,46,49,46,41,31,30,34,49,48,
,이대입구,내선,37,23,25,38,40,46,47,53,58,51,46,50,47,42,32,32,36,50,47,
,아현,내선,33,25,25,39,40,46,47,54,59,51,47,50,47,43,32,32,35,50,46,
,충정로,내선,34,26,26,40,41,47,47,56,60,52,48,51,49,44,31,33,36,48,45,
,성수(지선),내선,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,용답,내선,15,13,14,24,16,18,18,18,22,23,20,25,25,24,15,12,9,10,7,
,신답,내선,10,11,12,19,13,16,16,17,22,20,20,24,25,24,16,12,10,10,8,
,용두,내선,9,10,11,17,13,16,15,16,22,19,19,24,24,24,15,12,9,11,8,
,신설동,내선,8,9,10,16,12,14,14,15,20,17,18,22,22,24,15,11,9,11,8,
,신도림(지선),내선,16,23,14,22,22,24,24,34,37,38,41,48,58,62,54,41,52,48,46,
,도림천,내선,15,22,14,21,22,23,24,34,37,38,41,49,55,61,55,41,51,47,46,
,양천구청,내선,16,20,12,20,21,21,22,29,32,33,36,42,48,52,47,35,44,38,38,
,신정네거리,내선,16,19,11,18,19,19,19,24,26,27,28,33,36,40,33,29,32,28,27,
,까치산,내선,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

4호선,당고개,상선,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,상계,상선,0,4,1,2,3,3,2,3,3,3,3,4,4,5,4,4,4,4,5,
,노원,상선,0,8,3,6,6,6,5,6,8,8,8,10,11,14,10,10,10,11,13,
,창동,상선,0,13,7,13,15,13,11,14,17,19,18,22,24,28,21,19,21,22,25,
,쌍문,상선,0,16,10,16,19,18,15,18,22,25,24,29,31,35,27,27,28,31,33,
,수유,상선,31,13,10,16,20,18,16,21,24,31,28,35,38,42,33,34,36,40,43,
,미아,상선,27,14,10,18,24,21,19,24,28,38,35,43,47,53,42,43,47,51,55,
,미아사거리,상선,26,14,11,19,25,23,20,27,31,42,39,45,51,56,44,45,50,54,58,
,길음,상선,24,14,11,19,26,26,23,31,36,47,45,52,59,65,50,50,56,62,68,
,성신여대,상선,21,15,11,21,25,28,25,34,39,51,48,58,63,71,54,54,62,67,75,
,한성대입구,상선,20,15,12,22,28,30,27,36,42,55,51,62,67,75,58,53,65,70,69,
,혜화,상선,19,16,13,24,30,32,29,39,44,58,53,66,71,78,58,55,68,73,77,
,동대문,상선,18,17,15,29,41,42,38,54,62,82,70,81,86,91,63,56,67,72,76,
,동대문역사문화공원,상선,14,17,18,33,46,47,42,58,64,83,71,78,87,89,60,57,65,76,75,
,충무로,상선,14,20,19,39,47,49,46,62,67,84,75,82,88,90,59,60,64,74,73,
,명동,상선,13,14,15,32,43,44,42,53,56,69,60,66,68,69,47,46,49,54,54,
,회현,상선,12,15,16,36,46,48,47,58,59,73,62,65,64,62,39,36,36,39,39,
,서울역,상선,10,16,18,40,51,52,51,60,56,69,59,59,58,56,34,31,33,37,39,
,숙대입구,상선,12,18,17,36,46,43,43,50,49,56,48,50,50,49,27,25,25,28,32,
,삼각지,상선,11,16,18,37,46,41,44,47,50,53,48,48,47,47,26,24,24,28,32,
,신용산,상선,11,17,18,36,48,41,47,48,53,53,48,45,49,49,27,25,25,28,36,
,이촌,상선,11,17,19,36,50,42,47,49,55,51,48,44,47,47,26,24,24,27,36,
,동작,상선,11,18,20,38,52,45,45,51,53,54,46,42,47,46,25,23,24,26,36,
,총신대입구,상선,21,16,22,41,52,45,46,51,54,54,46,43,46,46,24,24,23,27,36,
,사당,상선,18,15,21,38,52,45,45,50,55,54,46,44,47,53,25,24,25,31,38,
,남태령,상선,20,29,43,59,95,92,90,114,118,119,81,86,109,124,52,42,37,40,52,
,,,,,,,,,,,,,,,,,,,,,,
