   구간별 시간대별 혼잡도(일요일) - 상선(내선),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,(단위 : %)
호선,역명,방향,5시대,6시대,7시대,8시대,9시대,10시대,11시대,12시대,13시대,14시대,15시대,16시대,17시대,18시대,19시대,20시대,21시대,22시대,23시대,24시대
1호선,서울역,상선,6,13,13,25,29,33,41,41,47,42,43,44,35,29,25,21,23,21,12,4
,시청,상선,6,15,14,25,32,35,44,43,51,46,48,49,43,36,28,27,29,26,15,11
,종각,상선,7,14,14,24,29,32,40,41,47,43,48,50,45,40,33,35,36,34,19,8
,종로3가,상선,6,15,16,26,31,34,42,46,52,48,53,57,52,46,39,40,40,39,21,8
,종로5가,상선,6,14,15,24,30,33,40,43,48,47,51,57,51,46,40,39,42,41,22,8
,동대문,상선,7,14,15,23,31,31,37,41,46,44,50,55,51,45,38,38,41,41,22,12
,동묘앞,상선,6,14,15,23,29,30,33,36,40,40,46,52,49,43,35,35,37,37,20,9
,신설동,상선,6,14,14,22,32,30,35,34,38,37,44,57,51,43,35,33,39,43,24,27
,제기동,상선,6,12,13,22,30,27,30,29,32,32,40,54,49,42,34,33,38,41,23,25
,청량리(지하),상선,6,9,12,18,27,22,26,23,25,25,34,45,46,39,30,30,34,38,21,21
2호선,시청,내선,24,13,10,17,23,30,29,33,39,32,31,30,28,26,21,24,25,28,21,0
,을지입구,내선,20,12,9,13,16,23,24,27,33,29,29,30,30,29,25,32,32,34,26,0
,을지3가,내선,14,8,6,7,9,13,13,16,19,17,18,21,20,20,18,23,22,25,19,0
,을지4가,내선,12,6,4,6,7,9,10,13,16,14,15,17,17,17,15,19,18,20,15,0
,동대문역사문화공원,내선,20,14,10,14,17,20,22,28,32,28,30,34,34,32,25,32,30,33,25,0
,신당,내선,22,17,12,17,20,23,25,31,37,32,34,39,39,35,28,33,33,35,26,0
,상왕십리,내선,17,18,12,17,20,23,25,31,34,33,34,38,38,35,27,32,32,34,25,0
,왕십리,내선,17,18,12,17,18,21,24,29,33,31,30,35,34,31,23,28,27,29,20,0
,한양대,내선,17,18,12,17,18,21,23,28,31,31,29,35,34,31,23,27,28,29,20,0
,뚝섬,내선,18,19,12,16,18,21,24,29,31,29,31,36,34,31,23,26,27,27,19,0
,성수,내선,9,14,11,16,22,24,26,30,34,29,33,35,34,33,27,28,30,29,45,0
,건대입구,내선,10,16,13,16,24,25,27,29,34,30,32,34,33,31,26,28,29,29,41,0
,구의,내선,11,16,14,17,26,26,28,29,34,31,32,33,31,29,25,26,27,26,35,0
,강변,내선,11,14,12,16,26,28,30,30,33,30,28,29,27,26,23,26,28,28,36,0
,성내,내선,13,13,12,16,27,28,31,32,33,30,29,29,27,25,22,25,27,27,33,0
,잠실,내선,16,16,17,19,34,35,41,41,42,37,35,34,32,30,24,28,30,27,28,0
,신천,내선,18,16,17,20,36,38,43,45,45,38,35,34,31,28,22,27,30,26,27,0
,종합운동장,내선,19,10,12,21,33,38,43,48,53,41,37,35,32,29,23,28,30,27,27,0
,삼성,내선,15,10,12,19,29,34,40,44,53,43,41,38,35,35,27,42,40,31,34,0
,선릉,내선,20,13,14,21,32,39,45,50,61,51,48,46,42,44,32,45,48,38,40,0
,역삼,내선,24,14,14,20,32,38,44,50,61,53,50,48,44,45,34,46,50,41,38,0
,강남,내선,34,15,13,18,27,35,40,47,55,53,51,50,48,49,39,52,64,58,49,0
,교대,내선,33,16,12,17,26,34,38,43,52,51,49,50,49,50,42,52,74,70,59,0
,서초,내선,33,16,12,16,25,34,37,42,52,51,49,49,49,51,42,51,75,71,60,0
,방배,내선,34,16,12,16,25,34,36,42,52,52,48,50,50,52,43,51,77,71,59,0
,사당,내선,23,16,11,15,24,35,38,42,52,55,51,53,55,63,46,52,78,76,64,0
,낙성대,내선,25,16,10,15,23,33,38,42,54,53,51,52,53,59,43,47,72,70,57,0
,서울대입구,내선,14,15,10,15,22,32,37,41,52,51,49,50,49,53,39,43,64,63,53,0
,봉천,내선,17,16,10,15,22,32,39,41,52,50,50,49,48,52,38,41,61,59,50,0
,신림,내선,23,16,12,18,24,33,40,43,52,51,49,47,45,45,34,35,52,50,40,0
,신대방,내선,28,18,13,20,26,36,41,46,55,53,48,49,45,45,33,34,49,46,36,0
,구로디지털단지,내선,36,19,14,24,30,39,45,49,58,54,49,49,46,44,34,32,46,42,32,0
,대림,내선,43,21,16,27,33,42,47,51,63,57,52,51,46,43,34,30,41,37,27,0
,신도림,내선,13,15,15,28,36,45,45,53,58,56,45,46,41,35,27,23,31,26,19,0
,문래,내선,13,15,15,28,38,50,48,53,59,55,45,47,40,35,30,29,30,34,30,0
,영등포구청,내선,12,14,14,28,37,50,47,52,58,56,44,45,38,33,28,28,28,31,26,0
,당산,내선,13,14,15,28,38,52,49,56,64,55,46,47,40,34,31,25,28,30,27,0
,합정,내선,12,11,12,22,32,44,42,49,55,48,41,40,35,30,24,22,22,24,20,0
,홍대입구,내선,26,13,14,23,32,44,41,45,52,44,38,36,33,29,24,25,26,30,25,0
,신촌,내선,28,15,13,22,29,40,39,43,50,42,37,34,32,29,25,27,29,34,27,0
,이대입구,내선,28,15,14,22,29,39,39,42,49,42,37,35,32,30,26,28,29,35,25,0
,아현,내선,29,16,14,22,28,39,37,44,50,42,38,35,32,30,25,28,29,35,25,0
,충정로,내선,30,17,14,22,29,39,39,45,51,43,39,36,33,31,25,28,30,34,25,0
,성수(지선),내선,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,용답,내선,8,10,7,11,10,16,12,11,15,17,17,19,24,19,10,9,7,7,5,0
,신답,내선,5,8,6,9,8,15,11,12,13,14,17,24,20,20,13,8,8,8,5,0
,용두,내선,4,7,6,8,8,9,9,11,12,16,17,17,21,21,13,9,7,7,4,0
,신설동,내선,3,6,5,7,8,8,9,10,11,15,16,16,20,21,12,9,7,7,4,0
,신도림(지선),내선,8,12,7,11,18,20,18,19,26,29,36,40,47,48,43,35,41,36,30,0
,도림천,내선,9,12,7,11,18,19,18,19,26,29,35,40,45,48,42,36,40,37,30,0
,양천구청,내선,9,11,7,10,17,17,17,17,23,24,31,34,39,39,36,30,34,30,25,0
,신정네거리,내선,10,10,6,8,15,15,14,14,19,20,23,26,30,30,25,23,26,22,19,0
,까치산,내선,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3호선,지축,상선,20,10,9,16,29,21,22,28,33,38,37,46,38,40,33,23,18,24,25,0
,구파발,상선,20,7,5,10,15,15,13,14,17,19,20,23,23,25,18,15,13,15,7,0
,연신내,상선,19,8,7,14,24,20,17,16,19,20,21,25,25,25,20,18,17,17,11,3
,불광,상선,15,8,8,15,25,21,18,18,22,25,27,32,32,35,28,25,26,25,18,9
,녹번,상선,13,9,9,17,32,24,20,20,25,27,28,34,35,39,31,28,29,27,19,0
,홍제,상선,12,9,9,18,33,24,20,21,26,28,30,37,38,42,34,32,32,31,22,0
,무악재,상선,9,9,10,19,33,25,22,21,28,30,34,40,42,47,36,36,37,36,26,0
,독립문,상선,8,9,11,19,34,25,22,21,28,30,35,41,43,49,38,37,38,35,27,0
,경복궁,상선,10,9,11,20,36,26,23,22,29,32,36,42,44,50,38,38,40,36,28,10
,안국,상선,11,10,13,24,45,36,32,31,39,40,43,46,46,51,39,38,40,37,26,0
,종로3가,상선,10,11,15,30,53,47,44,44,53,52,52,52,47,52,39,37,40,37,26,0
,을지3가,상선,9,9,12,23,42,40,38,40,51,48,48,47,43,46,36,34,35,35,24,0
,충무로,상선,9,10,12,23,42,39,39,41,53,50,49,50,47,51,39,36,38,38,26,0
,동대입구,상선,10,8,10,19,30,31,31,37,47,45,42,47,43,48,36,35,37,37,26,0
,약수,상선,10,8,10,20,31,32,32,37,47,45,42,44,41,44,33,34,35,36,25,0
,금호,상선,13,8,9,19,30,32,33,38,48,47,44,47,45,49,37,38,39,43,29,0
,옥수,상선,13,7,10,19,29,31,32,39,47,46,43,46,45,48,36,39,39,43,30,0
,압구정,상선,13,7,10,18,28,30,32,38,46,45,44,47,46,50,38,41,41,46,29,0
,신사,상선,9,8,11,21,33,33,35,38,47,44,44,46,43,47,35,34,36,43,24,0
,잠원,상선,6,9,11,22,36,35,38,45,51,46,46,45,43,44,33,32,33,38,23,0
,고속터미널,상선,6,9,11,22,36,34,38,45,51,46,46,45,44,45,34,33,33,38,23,0
,교대,상선,9,10,13,25,37,35,39,49,56,51,53,53,49,51,35,32,33,35,18,0
,남부터미널,상선,6,9,11,23,32,32,34,40,47,40,42,44,42,42,29,28,30,34,18,0
,양재,상선,5,8,11,21,28,27,28,33,40,34,34,35,33,33,21,19,22,22,11,0
,매봉,상선,4,8,9,18,24,22,23,26,28,23,23,22,21,20,13,11,12,12,6,0
,도곡,상선,3,7,8,17,23,21,22,25,27,22,21,21,20,18,12,10,11,10,6,0
,대치,상선,3,7,8,17,21,19,20,22,23,18,18,18,17,16,10,9,9,9,5,0
,학여울,상선,3,6,7,16,20,19,19,20,21,16,16,17,15,14,9,7,7,7,5,0
,대청,상선,3,6,7,16,19,19,19,20,20,16,16,16,15,13,8,7,7,7,4,0
,일원,상선,2,5,6,15,18,17,17,17,18,14,14,14,13,12,7,7,6,6,4,0
,수서,상선,3,5,7,14,17,17,15,15,16,12,13,13,12,11,7,6,6,6,4,0
,가락시장,상선,5,5,5,12,15,14,12,13,12,9,10,10,9,8,6,5,5,5,4,0
,경찰병원,상선,3,3,3,7,9,8,7,7,7,6,6,6,5,5,3,3,3,3,2,0
,오금,상선,2,3,2,6,7,7,5,6,6,4,5,5,5,4,3,2,3,2,2,0
4호선,당고개,상선,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,상계,상선,0,3,1,2,4,4,2,2,2,3,3,3,4,4,3,3,3,3,3,2
,노원,상선,0,5,2,4,7,8,5,5,6,7,7,8,9,11,8,8,9,8,9,8
,창동,상선,0,8,4,9,14,14,10,12,13,16,15,18,19,22,16,15,16,15,16,0
,쌍문,상선,0,11,6,13,18,19,14,15,17,21,19,23,24,27,21,21,22,21,21,0
,수유,상선,21,10,6,13,18,19,14,16,18,23,22,26,28,33,25,26,29,29,28,0
,미아,상선,19,11,8,14,22,22,16,18,20,28,26,32,34,39,32,33,37,37,37,0
,미아사거리,상선,18,11,8,14,22,23,16,19,21,28,28,33,37,41,33,36,39,39,39,0
,길음,상선,15,11,8,14,23,24,18,21,23,31,31,38,42,46,37,39,44,45,46,0
,성신여대,상선,13,12,8,15,24,25,20,22,25,34,33,43,44,51,40,43,49,49,52,0
,한성대입구,상선,12,12,9,16,25,27,21,24,27,36,35,46,47,54,43,42,53,52,47,0
,혜화,상선,12,12,10,17,28,29,22,26,29,38,38,48,49,57,44,44,56,54,54,0
,동대문,상선,12,13,10,19,32,36,31,40,47,57,50,57,58,62,46,44,56,55,54,0
,동대문역사문화공원,상선,11,14,11,20,34,39,33,42,48,58,50,55,59,62,45,47,55,58,54,0
,충무로,상선,12,14,11,22,34,39,35,46,52,61,54,61,64,67,48,53,55,60,54,0
,명동,상선,10,9,9,19,30,35,33,40,44,51,48,51,51,53,39,42,43,44,42,0
,회현,상선,9,10,10,21,32,38,38,47,49,55,48,49,46,46,31,32,32,33,31,0
,서울역,상선,8,10,10,22,35,40,40,48,48,56,47,46,44,44,28,28,30,32,30,0
,숙대입구,상선,8,11,10,20,33,33,34,40,42,46,38,38,37,37,22,22,22,21,22,0
,삼각지,상선,7,10,10,21,33,32,35,38,43,44,39,36,35,37,21,22,21,22,22,0
,신용산,상선,7,10,10,20,34,33,36,39,43,43,39,34,37,39,22,23,22,22,25,0
,이촌,상선,7,10,11,20,35,33,37,39,44,41,39,34,36,37,22,22,21,21,25,0
,동작,상선,7,10,12,22,38,35,35,40,43,43,36,32,36,38,21,21,21,20,25,0
,총신대입구,상선,12,9,12,23,38,35,35,40,43,43,36,33,36,39,21,22,21,21,23,0
,사당,상선,11,9,12,22,37,34,35,38,41,42,37,35,40,49,23,23,21,24,23,0
,남태령,상선,12,20,25,34,67,68,65,77,77,87,63,70,99,127,49,42,34,32,19,0
,,,,,,,,,,,,,,,,,,,,,,
