Line,Stations,Station Code,FR Code,
3,지축,309,319,
3,구파발,310,320,
3,연신내,311,321,
3,불광,312,322,
3,녹번,313,323,
3,홍제,314,324,
3,무악재,315,325,
3,독립문,316,326,
3,경복궁,317,327,
3,안국,318,328,
3,종로3가,319,329,
3,을지로3가,320,330,
3,충무로,321,331,
3,동대입구,322,332,
3,약수,323,333,
3,금호,324,334,
3,옥수,325,335,
3,압구정,326,336,
3,신사,327,337,
3,잠원,328,338,
3,고속터미널,329,339,
3,교대,330,340,
3,남부터미널,331,341,
3,양재,332,342,
3,매봉,333,343,
3,도곡,334,344,
3,대치,335,345,
3,학여울,336,346,
3,대청,337,347,
3,일원,338,348,
3,수서,339,349,
3,가락시장,340,350,
3,경찰병원,341,351,
3,오금,342,352,
