Line, Station Code, Station , Distance, Total Distance, Time,
서울 2호선,201,시청,0,0,,
서울 2호선,202,을지로입구,0.7,0.7,2,
서울 2호선,203,을지로3가,0.8,1.5,2,
서울 2호선,204,을지로4가,0.6,2.1,1,
서울 2호선,206,신당,0.9,4,2,
서울 2호선,207,상왕십리,0.9,4.9,2,
서울 2호선,208,왕십리,0.8,5.7,1,
서울 2호선,209,한양대,1,6.7,2,
서울 2호선,210,뚝섬,1.1,7.8,2,
서울 2호선,211,성수,0.8,8.6,1,
서울 2호선,212,건대입구,1.2,9.8,2,
서울 2호선,213,구의,1.6,11.4,3,
서울 2호선,214,강변,0.9,12.3,1,
서울 2호선,217,잠실새내,1,15.1,2,
서울 2호선,218,종합운동장,1.2,17.5,2,
서울 2호선,219,삼성,1,18.5,2,
서울 2호선,220,선릉,1.3,19.8,2,
서울 2호선,221,역삼,1.2,21,2,
서울 2호선,222,강남,0.8,21.8,1,
서울 2호선,223,교대,1.2,23,2,
서울 2호선,224,서초,0.7,23.7,2,
서울 2호선,225,방배,1.7,25.4,2,
서울 2호선,226,사당,1.6,27,3,
서울 2호선,227,낙성대,1.7,28.7,2,
서울 2호선,228,서울대입구,1,29.7,2,
서울 2호선,229,봉천,1,30.7,2,
서울 2호선,230,신림,1.1,31.8,2,
서울 2호선,231,신대방,1.8,33.6,2,
서울 2호선,232,구로디지털단지,1.1,34.7,2,
서울 2호선,233,대림,1.1,35.8,2,
서울 2호선,234,신도림,1.8,37.6,3,
서울 2호선,235,문래,1.2,38.8,2,
서울 2호선,236,영등포구청,0.9,39.7,2,
서울 2호선,237,당산,1.1,40.8,2,
서울 2호선,238,합정,2,42.8,4,
서울 2호선,239,홍대입구,1.1,43.9,2,
서울 2호선,240,신촌,1.3,45.2,2,
서울 2호선,241,이대,0.8,46,2,
서울 2호선,242,아현,0.9,46.9,2,
서울 2호선,243,충정로,0.8,47.7,2,
서울 2호선,201,시청,1.1,48.8,3,
Line, Station Code, Station , Distance, Total Distance, Time,
서울 4호선,409,당고개,0,0,,
서울 4호선,410,상계,1.2,1.2,2,
서울 4호선,411,노원,1,2.2,2,
서울 4호선,412,창동,1.4,3.6,2,
서울 4호선,413,쌍문,1.3,4.9,2,
서울 4호선,414,수유(강북구청),1.5,6.4,3,
서울 4호선,416,미아사거리,1.4,7.8,2,
서울 4호선,417,길음,1.3,10.6,2,
서울 4호선,418,성신여대입구,1.4,12,3,
서울 4호선,419,한성대입구,1,13,2,
서울 4호선,420,혜화,0.9,13.9,2,
서울 4호선,422,동대문역사문화공원,1.5,15.4,2,
서울 4호선,423,충무로,1.3,17.4,2,
서울 4호선,424,명동,0.7,18.1,1,
서울 4호선,425,회현,0.7,18.8,2,
서울 4호선,426,서울역,0.9,19.7,2,
서울 4호선,427,숙대입구,1,20.7,2,
서울 4호선,428,삼각지,1.2,21.9,2,
서울 4호선,429,신용산,0.7,22.6,1,
서울 4호선,430,이촌,1.3,23.9,2,
서울 4호선,431,동작,2.7,26.6,4,
서울 4호선,432,총신대입구(이수),1.8,28.4,3,
서울 4호선,433,사당,1.1,29.5,2,
서울 4호선,434,남태령,1.6,31.1,1,
